Tract,Latitude_x,Longitude_x,Total Population_x,Housing Unit Estimate,Longitude_y,Latitude_y,California County_x,Pollution Burden,Education,Asthma,Asthma Pctl,PM2.5,Tox. Release,Tox. Release Pctl,Pollution Burden Score,California County_y,Total Population_y,Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Latitude,Longitude,Total Population,White Only Percentage,Non White Only Percentage,CNTY_NAME,LOWINCOME,PEOPCOLORPCT,LIFEEXPPCT,DSLPM,CANCER,RESP,RSEI_AIR,D2_DSLPM,D5_DSLPM,D2_PM25,D5_PM25,D2_CANCER,D5_CANCER,D5_RESP,D2_RESP,Shape_Length,Shape_Area
6037576200,33.7723836,-118.1867637,7148.0,3272.0,-118.1867636,33.7723836,Los Angeles,51.52,19.3,75.83,82.6,11.64728179,10776.15967,97.79,6.29,Los Angeles,5324,35.07,29.79,20.17,0.0,6.4,33.7723836,-118.1867637,7148.0,32.4426413,67.55734925,Los Angeles,2223,0.699148346,0.25025641,0.51068825,30.0,0.3,4653.465184,54.12309372,18.67511121,42.15904139,14.54692871,23.92810459,8.256364956,3.341862006,9.685185192,0.034506423,6.78061e-05
6037576904,33.7771513,-118.157318,3239.0,1286.0,-118.157318,33.7771513,Los Angeles,42.94,16.2,53.57,60.89,11.60712094,9767.450034,97.25,5.24,Los Angeles,3157,41.4,29.71,13.78,0.0,10.55,33.7771513,-118.157318,3239.0,29.79314603,70.20683229,Los Angeles,1167,0.751210068,0.201025641,0.380660747,20.0,0.3,4019.208606,43.58526257,13.43068457,43.01922017,13.2562601,1.698127113,0.523273425,2.965216075,9.622720307,0.026893155,3.56329e-05
6037574602,33.7757438,-118.1050845,1243.0,583.0,-118.1067858,33.7781493,Los Angeles,45.77,6.6,14.2,3.07,11.50739377,8104.89974,96.27,5.59,Los Angeles,1291,19.29,60.26,1.47,0.0,14.18,33.7757438,-118.1050845,1243.0,63.31456154,36.68540894,Los Angeles,163,0.484363082,0.151794872,0.517530219,30.0,0.4,4303.001657,28.91304347,6.761404695,23.43478261,5.480296408,12.78260869,2.989252602,4.056842817,17.34782608,0.03052292,5.74763e-05
6037576901,33.7791377,-118.164632,5366.0,1950.0,-118.164632,33.7791377,Los Angeles,41.68,37.6,70.58,78.84,11.60712094,10146.39339,97.44,5.09,Los Angeles,5357,56.41,11.52,12.39,0.0,18.74,33.7791377,-118.164632,5366.0,19.8844577,80.11552737,Los Angeles,2326,0.850919652,0.230769231,0.388725699,30.0,0.3,4113.633962,50.82764006,20.03535581,49.52436722,19.52162874,27.36872926,10.78826851,4.366680112,11.07781899,0.027557016,4.33047e-05
6037576402,33.7789756,-118.1741618,4705.0,1412.0,-118.1741618,33.7789756,Los Angeles,37.55,47.5,111.73,95.1,11.66802231,10705.44661,97.75,4.59,Los Angeles,5015,67.3,9.45,12.62,0.04,9.27,33.7789756,-118.1741618,4705.0,14.53772582,85.46225601,Los Angeles,2715,0.916596639,0.224615385,0.414295324,30.0,0.3,4386.878224,62.75359994,26.0563165,56.77706665,23.57476256,31.37679997,13.02815825,5.273302148,12.70013332,0.023223766,3.15807e-05
6037576403,33.7789729,-118.1698152,4830.0,1463.0,-118.1698152,33.7789729,Los Angeles,37.07,35.4,82.09,86.54,11.65311866,10458.20671,97.57,4.53,Los Angeles,5140,59.67,11.4,17.18,0.0,11.22,33.7789729,-118.1698152,4830.0,14.53416149,85.46582081,Los Angeles,2716,0.887422214,0.227692308,0.403076267,30.0,0.3,4239.573292,56.78539781,21.29805932,53.28012637,19.98336429,29.44428035,11.04343817,4.469963068,11.917923,0.023241815,3.15897e-05
6037575202,33.7858671,-118.1704604,4278.0,1211.0,-118.1704604,33.7858671,Los Angeles,41.13,55.1,110.89,95.03,11.65311866,11507.37354,98.06,5.02,Los Angeles,4175,66.42,1.77,7.95,0.0,23.04,33.7858671,-118.1704604,4278.0,14.39925199,85.600728,Los Angeles,2186,0.958712023,0.221538462,0.374704085,30.0,0.3,4473.416749,58.00155802,25.11959638,58.76473643,25.45011736,32.05349259,13.88188221,5.618857085,12.97403272,0.027525953,3.93363e-05
6037575002,33.7857831,-118.1434681,4760.0,2084.0,-118.1434676,33.7857845,Los Angeles,46.32,9.4,80.19,85.29,11.58771109,11413.8833,98.04,5.66,Los Angeles,4843,32.52,38.9,8.84,0.0,15.96,33.7857831,-118.1434681,4760.0,44.26470588,55.73528241,Los Angeles,1044,0.570380254,0.237948718,0.338912498,30.0,0.3,4900.233849,28.30725145,8.700737298,31.99950166,9.83561611,17.23050088,5.296100964,2.143659914,6.974250357,0.046559051,9.39386e-05
6037573002,33.793484,-118.1915444,3484.0,1144.0,-118.1915444,33.793484,Los Angeles,54.34,51.1,71.3,79.16,11.66444496,14167.36979,98.82,6.63,Los Angeles,4086,73.74,5.7,14.44,0.0,5.24,33.793484,-118.1915444,3484.0,11.36624569,88.63372887,Los Angeles,1821,0.903579677,,0.369732296,30.0,0.3,5991.221167,53.79312998,20.8509411,55.9448552,21.68497874,30.12415279,11.67652702,4.726213316,12.19310946,0.02321028,3.15913e-05
6037575001,33.7947828,-118.1474233,4144.0,1839.0,-118.1471333,33.794704,Los Angeles,46.88,7.7,27.2,20.34,11.6560084,15839.76986,99.11,5.72,Los Angeles,3688,20.69,37.88,14.97,0.0,22.97,33.7947828,-118.1474233,4144.0,39.69594595,60.3040395,Los Angeles,1114,0.727124563,0.163076923,0.326551158,30.0,0.3,6637.284992,33.04761352,8.550428043,39.45983702,10.20946628,20.71641445,5.359969818,2.169511593,8.385215371,0.055796653,9.49271e-05
